EpochTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,DO
1572441430.292530,378500,64671,29,DO,1,100,AY
1572441430.292530,378500,64671,29,DO,1,100,AZ
1572441430.292530,378500,64671,29,DO,1,100,GX
1572441430.292530,378500,64671,29,DO,1,100,GX
1572441430.292530,378500,64671,29,DO,1,100,GY
1572441430.292530,378500,64671,29,DO,1,100,GX
1572441430.292530,378500,64671,29,DO,1,100,GY
1572441430.292530,378500,64671,29,DO,1,100,GZ
1572441430.292530,378500,64671,29,DO,1,100,MX
1572441430.292530,378500,64671,29,DO,1,100,GY
1572441430.292530,378500,64671,29,DO,1,100,GZ
1572441430.292530,378500,64671,29,DO,1,100,MX
1572441430.292530,378500,64671,29,DO,1,100,MY
1572441430.292530,378500,64671,29,DO,1,100,GZ
1572441430.292530,378500,64671,29,DO,1,100,MX
1572441430.292530,378500,64671,29,DO,1,100,MY
1572441430.292530,378500,64671,29,DO,1,100,MZ
1572441430.292530,378500,64671,29,DO,1,100,GZ
1572441430.292530,378500,64671,29,DO,1,100,MX
1572441430.292530,378500,64671,29,DO,1,100,MY
1572441430.292530,378500,64671,29,DO,1,100,MZ
1572441430.292530,378500,64671,29,DO,1,100,MX
1572441430.292530,378500,64671,29,DO,1,100,MY
1572441430.292530,378500,64671,29,DO,1,100,MZ
1572441430.292530,378500,64671,29,DO,1,100,MY
1572441430.292530,378500,64671,29,DO,1,100,MZ
1572441430.292530,378500,64671,29,DO,1,100,MY
1572441430.292530,378500,64671,29,DO,1,100,MZ
1572441430.292530,378500,64671,29,DO,1,100,MZ
